reference,name,price,height,length,width,weigth
17006,"LAMPADA BASE LILAS 2721 12V 0,4W (EXCLUSIVO NARVA)","2,64",20,20,20,500
17019,"LAMPADA BASE LARANJA 2721 12V 1,0W(EXCLUSIVO NARVA","2,52",20,20,20,500
17022,"LAMPADA BASE AMARELA 2741 24V 1,2W (EXCLUS. NARVA)","5,10",20,20,20,500
17027,"LAMPADA BASE AZUL 12V 1,2W (EXCLUSIVO NARVA)","2,52",20,20,20,500
17028,"LAMPADA BASE PRETA 2721 12V 1,2W (EXCLUSIVO NARVA)","2,52",20,20,20,500
17029,"LAMPADA BASE AZUL 2721 MFX 12V 1,2W (EXCLUS.NARVA)","2,52",20,20,20,500
17032,"LAMPADA 2721 12V 1,2W NARVA (PINGUINHO) FOSCA","2,98",20,20,20,500
17035,"LAMPADA BASE PRETA 2721BF 12V 1,2W NARVA","2,52",20,20,20,500
17036,"LAMPADA BASE PRETA 2721 MF8 12V 1,2W NARVA","2,72",20,20,20,500
17037,"LAMPADA 2721 12V 1,2W NARVA (PINGUINHO)","0,74",20,20,20,500
17038,"LAMPADA BASE CINZA 2741 MF8 24V 1,2W NARVA","3,64",20,20,20,500
17039,"LAMPADA BASE CINZA CLARO 2741 MF 24V 1,2W NARVA","3,44",20,20,20,500
17040,"LAMPADA 2721 24V 1,2W NARVA (PINGUINHO)","1,28",20,20,20,500
17046,"LAMPADA BASE LARANJA 2473 MFX6 12V 1,2W NARVA","2,68",20,20,20,500
17047,"LAMPADA BASE VERDE OLIVA 2721 12V 1,3W (EXCL.NARVA","2,50",20,20,20,500
17048,"LAMPADA BASE BEGE 2452 MFX6 12V 1,5W NARVA","2,50",20,20,20,500
17049,"LAMPADA BASE BEGE 2752 MF 12V 1,5W NARVA","2,60",20,20,20,500
17050,"LAMPADA BASE AMARELA 2721 12V 1,5W (EXCLUS. NARVA)","2,58",20,20,20,500
17051,LAMPADA 0075 12V 02W NARVA,"2,26",20,20,20,500
17052,LAMPADA BASE VERDE CLARO 2722 MFX 12V 2W NARVA,"2,60",20,20,20,500
17053,LAMPADA 0053 12V 02W NARVA,"1,22",20,20,20,500
17054,LAMPADA BASE VERDE CLARO 2721 12V 2W (EXCL. NARVA),"2,80",20,20,20,500
17057,LAMPADA BASE VERDE 2722 MF 12V 2W NARVA,"2,60",20,20,20,500
17058,LAMPADA BASE AZUL 2721 12V 2W (EXCLUSIVO NARVA),"2,60",20,20,20,500
17059,LAMPADA 2821 12V 2W NARVA (PINGAO),"2,12",20,20,20,500
17060,"LAMPADA BASE BEGE 2721 12V 1,8W (EXCLUSIVO NARVA)","2,60",20,20,20,500
17061,LAMPADA 0069 24V 03W NARVA (P.ENCONTRADO),"2,04",20,20,20,500
17063,LAMPADA 0053 24V 02W NARVA,"1,28",20,20,20,500
17067,"LAMPADA BASE AZUL 2721 24V 1,8W (EXCLUSIVO NARVA)","3,98",20,20,20,500
17069,LAMPADA 2821 24V 2W NARVA (PINGAO),"2,26",20,20,20,500
17072,"LAMPADA BASE BRANCA GELO 2421 24V 1,2W(EXCL.NARVA)","3,98",20,20,20,500
17076,"LAMPADA BASE MARROM 2721 24V 1,2W NARVA","3,98",20,20,20,500
17079,"LAMPADA BASE VERDE 2721 24V 1,4W (EXCLUSIVO NARVA)","3,98",20,20,20,500
17082,"LAMPADA BASE VERDE CLARO 2721 24V 1,4 (EXCL.NARVA)","3,98",20,20,20,500
17083,LAMPADA BASE MARROM HALOGENA 12V 3W (EXCLUS. NARVA,"18,52",20,20,20,500
17094,"LAMPADA TORPEDO 8,2 X 30 MM 12V 03W NARVA","3,86",20,20,20,500
17097,LAMPADA 2821 12V 3W NARVA (PINGAO),"2,42",20,20,20,500
17102,"LAMPADA BASE MARROM 2721 24V 1,2W (EXCLUSIVO NARVA","3,98",20,20,20,500
17104,LAMPADA TORPEDO MEDIA 24V 03W NARVA,"4,64",20,20,20,500
17109,LAMPADA 2821 24V 3W NARVA (PINGAO),"1,22",20,20,20,500
17111,"LAMPADA BASE BRANCA 2721 28V 1,2W(EXCLUSIVO NARVA)","4,40",20,20,20,500
17112,"LAMPADA BASE AZUL 2741 28V 1,2W (EXCLUSIVO NARVA)","4,40",20,20,20,500
17125,LAMPADA TORPEDO 11 X 35 MM 12V 05W NARVA,"1,26",20,20,20,500
